Ticker,Grade,Score,Industry,Update_Date
AAPL,C,0.74,Consumer Electronics,2025-03-12
MSFT,C,0.74,Software - Infrastructure,2025-03-12
AMZN,C,0.74,Internet Retail,2025-03-12
TSLA,C,0.74,Auto Manufacturers,2025-03-12
GOOGL,C,0.74,Internet Content & Information,2025-03-12
META,C,0.74,Internet Content & Information,2025-03-12
NVDA,C,0.74,Semiconductors,2025-03-12
JPM,C,0.74,Banks - Diversified,2025-03-12
BAC,C,0.74,Banks - Diversified,2025-03-12
WMT,C,0.74,Discount Stores,2025-03-12
DIS,C,0.74,Entertainment,2025-03-12
V,C,0.74,Credit Services,2025-03-12
PG,C,0.74,Household & Personal Products,2025-03-12
T,C,0.74,Telecom Services,2025-03-12
KO,C,0.74,Beverages - Non-Alcoholic,2025-03-12
HD,C,0.74,Home Improvement Retail,2025-03-12
NFLX,C,0.74,Entertainment,2025-03-12
PFE,C,0.74,Drug Manufacturers - General,2025-03-12
INTC,C,0.74,Semiconductors,2025-03-12
NVDA,C,0.74,Semiconductors,2025-03-12
BABA,C,0.74,Internet Retail,2025-03-12
IBM,C,0.74,Information Technology Services,2025-03-12
CSCO,C,0.74,Communication Equipment,2025-03-12
WFC,C,0.74,Banks - Diversified,2025-03-12
MRK,C,0.74,Drug Manufacturers - General,2025-03-12
ORCL,C,0.74,Software - Infrastructure,2025-03-12
CAT,C,0.74,Farm & Heavy Construction Machinery,2025-03-12
XOM,C,0.74,Oil & Gas Integrated,2025-03-12
GE,C,0.74,Aerospace & Defense,2025-03-12
C,C,0.74,Banks - Diversified,2025-03-12
MCD,C,0.74,Restaurants,2025-03-12
BA,C,0.74,Aerospace & Defense,2025-03-12
LLY,C,0.74,Drug Manufacturers - General,2025-03-12
AMGN,C,0.74,Drug Manufacturers - General,2025-03-12
F,C,0.74,Auto Manufacturers,2025-03-12
GM,C,0.74,Auto Manufacturers,2025-03-12
CRM,C,0.74,Software - Application,2025-03-12
ADBE,C,0.74,Software - Application,2025-03-12
TSN,C,0.74,Farm Products,2025-03-12
UPS,C,0.74,Integrated Freight & Logistics,2025-03-12
SQ,Error,,Unknown,2025-03-12
PYPL,C,0.74,Credit Services,2025-03-12
VZ,C,0.74,Telecom Services,2025-03-12
CVX,C,0.74,Oil & Gas Integrated,2025-03-12
LUV,C,0.74,Airlines,2025-03-12
SPG,C,0.74,REIT - Retail,2025-03-12
OXY,C,0.74,Oil & Gas E&P,2025-03-12
ZM,C,0.74,Software - Application,2025-03-12
TGT,C,0.74,Discount Stores,2025-03-12
MRNA,C,0.74,Biotechnology,2025-03-12
